area,file_name,minister,ministry
,20140320_31-60_soalan-41.txt,,menteri dalam negeri
subang,Mar-Apr_2015_Soalan_Bertulis_501-578_soalan-527.txt,Sivarasa Rasiah,menteri komunikasi dan multimedia
beruas,20141103_Parliamentary_Reply_soalan-14.txt,Ngeh Koo Ham,menteri pendidikan
jerantut,Mar-Apr_2015_SoalanBertulis_1-100_soalan-76.txt,Ahmad Nazlan Bin Idris,menteri dalam negeri
,20151125__DR_JawabLisan_soalan-37.txt,,menteri belia dan sukan
,20151022__DR_JawabLisan_soalan-16.txt,,perdana menteri
rabu,Soalan_11-49_Oct_29_soalan-27.txt,Ahmad Bin Bujang,menteri belia dan sukan
,20141127_Parliamentary_Reply_soalan-23.txt,Nur Jazlan Mohamed,menteri pendidikan
wangsa maju,20141126_Parliamentary_Reply_soalan-34.txt,Tan Kee Kwong,menteri kewangan
lenggong,20150518_20150618_S1_S100_soalan-47.txt,Shamsul Anuar Bin Nasarah,menteri perdagangan dalam negeri koperasi dan kepenggunaan
bayan baru,20150311_Parliamentary_Reply_soalan-39.txt,Sim Tze Tzin,perdana menteri
pasir gudang,20140618_soalan-40.txt,Normala Abdul Samad,perdana menteri
bayan baru,20151027_DR_JawabLisan_soalan-51.txt,Sim Tze Tzin,perdana menteri
kuala selangor,20150401_Parliamentary_Reply_soalan-29.txt,Irmohizam Bin Ibrahim,menteri kewangan
,Oct_Bertulis_Soalan_101-200_soalan-176.txt,,menteri pertanian dan industri asas tani
,20141113_Parliamentary_Reply_soalan-28_1439372501_1439372501.txt,Gooi Hsiao-Leung,menteri perdagangan antarabangsa dan industri
,20140616_soalan-56_1457586149.txt,,
,20141113_Parliamentary_Reply_soalan-39.txt,,menteri pertanian dan industri asas tani
,20151020__DR_JawabLisan_soalan-28.txt,,menteri kewangan
,20140331_31-60_soalan-32.txt,Kamarul Baharin Abbas,menteri perdagangan antarabangsa dan industri
kuala krai,Soalan_08-59_Oct_14_soalan-51.txt,Mohd Hatta Md Ramli,perdana menteri
bandar kuching,20150518_Parliamentary_Reply_soalan-55.txt,Chong Chieng Jen,menteri perdagangan dalam negeri koperasi dan kepenggunaan
sungai siput 1,20150318_Parliamentary_Reply_soalan-14.txt,Michael Jeyakumar Devaraj,menteri dalam negeri
,20140619_soalan-52_1457585780.txt,,
,20140609_soalan-3_1457585792_1457585792_1457585792.txt,,
paya besar,Mar-Apr_2015_SoalanBertulis_1-100_soalan-79.txt,Abdul Manan Ismail,menteri kewangan
,20150618_ParliamentaryReply_soalan-14.txt,,menteri tenaga teknologi hijau dan air
segambut,20140610_soalan-86.txt,Lim Lip Eng,menteri dalam negeri
pendang,Soalan_07-56_Oct_17_soalan-7.txt,Othman Bin Abdul,perdana menteri
gopeng,20151021__DR_JawabLisan_soalan-22.txt,Lee Boon Chye,menteri dalam negeri
,20150518_Parliamentary_Reply_soalan-60.txt,,perdana menteri
,20150609_Parliamentary_Reply_soalan-53.txt,,perdana menteri
,20140611_soalan-133.txt,,
ipoh barat,20151124__DR_JawabLisan_soalan-10.txt,M. Kulasegaran A/L V. Murugeson,menteri pendidikan
sekijang,20140403_1-36_soalan-15.txt,,menteri pendidikan
mersing,20151019_DR_JawabLisan_soalan-38.txt,,perdana menteri
kota bharu,20150611_Parliamentary_Reply_soalan-51.txt,Takiyuddin Bin Hassan,menteri dalam negeri
titiwangsa,20150326_Parliamentary_Reply_soalan-50.txt,Johari Abdul,menteri pendidikan
,201406_SoalanBertulis_soalan-179.txt,,menteri kesihatan
kuiai,20151020__DR_JawabLisan_soalan-43.txt,Teo Nie Ching,perdana menteri
marang,20141104_Parliamentary_Reply_soalan-38_1439372468.txt,Abdul Hadi Bin Awang,perdana menteri
batu gajah,20150518_20150618_S201_S300_soalan-240.txt,Sivakumar A/L Varatharaju Naidu,menteri pelancongan dan kebudayaan
selasa soalan,20151124__DR_JawabLisan_soalan-46.txt,Mohamad Imran Bin Abd Hamid,menteri pertahanan
,Soalan_8-54_Oct_8_soalan-14.txt,,menteri kerja raya
